 ,gas,electricity,heat_demand
154,0.92694,1.47983,1.52420361
155,0.92694,1.44831,1.50940483
156,0.92694,1.41572,1.54267038
157,0.92694,1.38847,1.50466131
158,0.92694,1.3313,1.53174366
159,0.92694,1.20815,1.57155595
160,0.92694,1.20828,1.57604411
161,0.92694,1.21042,1.55684359
162,0.92694,1.13682,1.60272259
163,0.92694,1.05855,1.11890118
164,0.92694,1.04399,1.13481406
165,0.92694,0.92484,1.15868338
166,0.92694,0.77498,1.12551907
167,0.92694,0.52146,1.11892589
168,0.92965,0.73651,1.13870544
169,0.92965,0.77618,1.15189181
170,0.92965,0.6008,1.16507818
171,0.92965,0.68829,1.15189181
172,0.92965,0.74479,1.15189181
173,0.92965,0.74492,1.16507818
174,0.92965,0.9752,1.19804411
175,0.92965,1.08286,1.21476854
176,0.92965,1.12373,1.72572087
177,0.92965,1.08299,1.64145463
178,0.92965,1.08259,1.60504971
179,0.92965,1.12119,1.44933387
180,0.92965,1.08379,1.29222854
181,0.92965,1.07404,1.27839739
182,0.92965,1.08206,1.320693
183,0.92965,1.10597,1.46595422
184,0.92965,0.96719,1.52816434
185,0.92965,1.1065,1.58564438
186,0.92965,1.10637,1.67554945
187,0.92965,1.00365,1.19846559
188,0.92965,1.02489,1.20642203
189,0.92965,0.97734,1.21437847
190,0.92965,0.89386,1.13870544
191,0.92965,0.79809,1.15189181
192,0.92217,0.76456,1.10573952
193,0.92217,0.59359,1.18485774
194,0.92217,0.5427,1.14529863
195,0.92217,0.63099,1.09914633
196,0.92217,0.68655,1.06618041
197,0.92217,0.83629,1.07277359
198,0.92217,0.99083,1.1123327
199,0.92217,1.08313,1.17494871
200,0.92217,1.17783,1.55186099
201,0.92217,1.16875,1.42541118
202,0.92217,1.16754,1.33917975
203,0.92217,1.10864,1.29655975
204,0.92217,1.07979,1.2343562
205,0.92217,1.07778,1.29699895
206,0.92217,1.09862,1.35019178
207,0.92217,1.16407,1.40307227
208,0.92217,1.21576,1.40767516
209,0.92217,1.24408,1.44474875
210,0.92217,1.2207,1.47971138
211,0.92217,1.2207,1.04788682
212,0.92217,1.20454,1.02431105
213,0.92217,1.18718,1.01645247
214,0.92217,1.15071,1.02062171
215,0.92217,1.13308,1.00763105
216,0.89691,1.11772,1.04660305
217,0.89691,1.15245,1.05959371
218,0.89691,1.12614,1.02711705
219,0.89691,1.14871,1.04660305
220,0.89691,1.1447,1.07277359
221,0.89691,1.16207,1.03361238
222,0.89691,1.25784,1.01412638
223,0.89691,1.46661,1.03238663
224,0.89691,1.58108,1.45711222
225,0.89691,1.58936,1.45828804
226,0.89691,1.58081,1.30765153
227,0.89691,1.56545,1.33003729
228,0.89691,1.51723,1.34469161
229,0.89691,1.49867,1.31665068
230,0.89691,1.51282,1.40235561
231,0.89691,1.50401,1.43187566
232,0.89691,1.52244,1.44474875
